rank,name,range
1,신과함께-인과 연,"2, up"
2,미션 임파서블: 폴아웃,"1, down"
3,인랑,"1, down"
4,인크레더블 2,"0, na"
5,마녀,"0, na"
6,어느 가족,"0, na"
7,공작,"2, up"
8,앤트맨과 와스프,"1, down"
9,신비아파트: 금빛 도깨비와 비밀의 동굴,"1, down"
10,신은 죽지 않았다 3: 어둠 속의 빛,"0, na"
11,안시성,"0, na"
12,어벤져스: 인피니티 워,"2, up"
13,변산,"22, up"
14,아이 엠 러브,"2, down"
15,극장판 헬로카봇 : 백악기 시대,"2, up"
16,독전,"3, down"
17,맘마미아!2,"4, up"
18,쥬라기 월드: 폴른 킹덤,"2, up"
19,미션 임파서블: 로그네이션,"3, down"
20,킬링 디어,"5, down"
21,신과함께-죄와 벌,"2, up"
22,스카이스크래퍼,"3, down"
23,엄마의 유혹,"5, down"
24,이별의 아침에 약속의 꽃을 장식하자,"2, down"
25,상류사회,"3, up"
26,주피터스 문,"3, up"
27,더 스퀘어,"6, up"
28,데드풀 2,"4, down"
29,미드나잇 선,"3, down"
30,미션 임파서블 : 고스트 프로토콜,"3, down"
31,속닥속닥,"6, down"
32,목격자,"2, down"
33,노인을 위한 나라는 없다,"9, up"
34,명탐정 코난 : 제로의 집행인,"5, up"
35,여교사 : 제자와의 사랑,"1, down"
37,미션 임파서블 3,"6, up"
38,아일라,"0, na"
39,룸싸롱 맛있는 서비스,"10, up"
40,논스톱: 다마스커스 타겟,"1, down"
41,호텔 아르테미스,"4, down"
42,명당,"1, down"
43,미션 임파서블,"4, up"
44,탐정: 리턴즈,"0, na"
45,아수라,"12, down"
46,허스토리,"2, down"
47,너의 결혼식,"15, down"
48,메가로돈,"0, na"
50,해적왕 작스톰,"3, down"
